,precision,recall,f1-score,support
1,0.8300477897252091,0.6482388616748309,0.7279633267845449,4287.0
2,0.8889986824769434,0.7705924339757316,0.8255716142846219,7005.0
accuracy,0.8042,0.8042,0.8042,0.8042
macro avg,0.8221333231222046,0.775615637824418,0.7911409847805558,20000.0
weighted avg,0.8146902449305544,0.8042,0.802174637978303,20000.0
0,0.7505970006686408,0.9108612495653182,0.8229995810640972,8627.0
1,0.8261764705882353,0.6493296347665279,0.7271550608335491,4326.0
2,0.892350350676888,0.7763587342131404,0.8303232660494764,7047.0
accuracy,0.8069,0.8069,0.8069,0.8069
macro avg,0.8230412739779213,0.7788498728483289,0.7934926359823743,20000.0
weighted avg,0.816891632887655,0.8069,0.804848911742828,20000.0
0,0.7458222559817699,0.9066251154201292,0.8183996665972078,8664.0
1,0.8216731169991068,0.6433566433566433,0.7216629624787554,4290.0
2,0.886397119004747,0.768521146749929,0.8232611174458381,7046.0
accuracy,0.8015,0.8015,0.8015,0.8015
macro avg,0.8179641639952079,0.7728343018422339,0.7877745821739337,20000.0
weighted avg,0.8116167899129836,0.8015,0.7993623326977722,20000.0
0,0.7550090209856614,0.914643966409755,0.8271951727007907,8693.0
1,0.8332837153914856,0.6473172987974098,0.7286216321749317,4324.0
2,0.8898527004909984,0.7786051840183302,0.8305201252577713,6983.0
accuracy,0.80935,0.80935,0.80935,0.80935
macro avg,0.8260484789560484,0.7801888164084984,0.7954456433778313,20000.0
weighted avg,0.819012680615489,0.80935,0.8070444804243698,20000.0
0,0.753729216152019,0.91089677345275,0.8248934179057918,8709.0
1,0.8218934911242604,0.6504331538281433,0.7261795843680564,4271.0
2,0.8913863822805579,0.773931623931624,0.8285169653069004,7020.0
accuracy,0.8072,0.8072,0.8072,0.8072
macro avg,0.8223363631856125,0.778420517070839,0.7931966558602497,20000.0
weighted avg,0.8166033623834582,0.8072,0.8050849438915975,20000.0
0,0.7496216420734014,0.9079972502291476,0.8212435233160622,8728.0
1,0.8244161986402602,0.6489064681247092,0.7262075250618409,4298.0
2,0.8863523573200992,0.7682821909951247,0.8231046931407943,6974.0
accuracy,0.8036,0.8036,0.8036,0.8036
macro avg,0.8201300660112536,0.7750619697829938,0.7901852471728992,20000.0
weighted avg,0.8133729926861428,0.8036,0.8014692772091141,20000.0
0,0.7492619750499953,0.9094902323430817,0.8216374269005848,8651.0
1,0.8247000292654375,0.6548919358587032,0.7300518134715026,4303.0
2,0.8903321275896087,0.768521146749929,0.8249542961608776,7046.0
accuracy,0.80505,0.80505,0.80505,0.80505
macro avg,0.8214313773016805,0.777634438317238,0.792214512177655,20000.0
weighted avg,0.8151914871541533,0.80505,0.8031013152117189,20000.0
0,0.7535563244905805,0.9011494252873563,0.8207705192629816,8700.0
1,0.815310187820148,0.6608996539792388,0.7300293030959358,4335.0
2,0.8881946728049983,0.7755922469490308,0.8280830842339235,6965.0
accuracy,0.80535,0.80535,0.80535,0.80535
macro avg,0.8190203950385756,0.7792137754052085,0.7929609688642802,20000.0
weighted avg,0.8138292791677603,0.80535,0.8036489614099049,20000.0
0,0.7514038260207481,0.9119787455238535,0.8239407221874347,8657.0
1,0.8373887240356083,0.6533919888863162,0.7340356353231889,4319.0
2,0.8954760738200228,0.7806093394077449,0.8341066402981668,7024.0
accuracy,0.81,0.81,0.81,0.81
macro avg,0.8280895412921264,0.7819933579393048,0.7973609992695968,20000.0
weighted avg,0.8205704381741623,0.81,0.80809598911959,20000.0
0,0.745274102079395,0.9095628100126889,0.8192633383552392,8669.0
1,0.8192446043165468,0.6385514018691589,0.7176995798319328,4280.0
2,0.893491124260355,0.7709544745426181,0.8277122192615151,7051.0
accuracy,0.8027,0.8027,0.8027,0.8027
macro avg,0.8193366102187656,0.773022895474822,0.7882250458162291,20000.0
weighted avg,0.813357700728043,0.8027,0.8005073469947592,20000.0
0,0.758341369334619,0.9056777611424622,0.825486799979006,8683.0
1,0.8241206030150754,0.6465677179962894,0.7246263807667317,4312.0
2,0.8847446774451737,0.7890078515346182,0.8341382432840326,7005.0
accuracy,0.80895,0.80895,0.80895,0.80895
macro avg,0.8224022165982894,0.7804177768911232,0.7947504746765901,20000.0
weighted avg,0.8167961307818472,0.80895,0.8067714616144253,20000.0
0,0.7541468064823642,0.9083706510506373,0.824105422157404,8709.0
1,0.8184769775678866,0.6492624678061344,0.7241154197675936,4271.0
2,0.8825547206795165,0.7696581196581197,0.8222492771267691,7020.0
accuracy,0.80435,0.80435,0.80435,0.80435
macro avg,0.8183928349099224,0.7757637461716304,0.7901567063505889,20000.0
weighted avg,0.812955692400878,0.80435,0.8021010502413072,20000.0
0,0.7511934313538285,0.9079159935379645,0.8221525600835946,8666.0
1,0.8196864111498258,0.6518125144308474,0.7261736334405144,4331.0
2,0.894278197961197,0.7766671426531486,0.8313335880779519,7003.0
accuracy,0.8065,0.8065,0.8065,0.8065
macro avg,0.8217193468216171,0.7787985502073201,0.793219927200687,20000.0
weighted avg,0.8161267171562219,0.8065,0.8045830604712598,20000.0
0,0.7548214626694673,0.9090490973899046,0.8247874393615356,8697.0
1,0.8239416058394161,0.6544526901669759,0.7294817112575934,4312.0
2,0.8872316013768234,0.7742812187097697,0.8269172013443324,6991.0
accuracy,0.80705,0.80705,0.80705,0.80705
macro avg,0.8219982232952355,0.7792610020888834,0.7937287839878205,20000.0
weighted avg,0.8160077295220646,0.80705,0.8049839826834123,20000.0
0,0.7530981887511916,0.9067952249770431,0.8228309551088429,8712.0
1,0.8263703703703704,0.6492085661080075,0.727154217181593,4296.0
2,0.8818255908720456,0.773741418764302,0.8242553515654757,6992.0
accuracy,0.80495,0.80495,0.80495,0.80495
macro avg,0.8204313833312025,0.7765817366164508,0.7914135079519705,20000.0
weighted avg,0.8138401531444419,0.80495,0.8027775608033084,20000.0
0,0.7523609653725079,0.9064475347661188,0.8222477064220184,8701.0
1,0.8218023255813953,0.6588207876951759,0.731341352994438,4291.0
2,0.8920519993417805,0.7735445205479452,0.8285823461979366,7008.0
